,,,Wall time,Step,Value
1589161432.78473,10500,534.338989257813,,,
1589162355.26895,10528,516.443603515625,,,
1589162657.66635,10537,508.5361328125,,,
1589163428.31301,10560,547.389221191406,,,
1589163461.9528,10561,527.34912109375,,,
1589163902.41613,10573,543.610473632813,,,
1589164932.88623,10604,523.694274902344,,,
1589165235.49843,10613,552.229309082031,,,
1589165806.87873,10630,547.009216308594,,,
1589165974.99226,10635,540.26513671875,,,
1589166277.4618,10644,508.042388916016,,,
1589166546.2983,10652,542.651977539063,,,
1589166815.10741,10660,541.484130859375,,,
1589167386.73255,10677,533.433715820313,,,
1589168392.35576,10707,537.308288574219,,,
1589168728.48145,10717,539.216369628906,,,
1589169974.80166,10754,548.714599609375,,,
1589170276.47293,10763,553.727722167969,,,
1589170310.02092,10764,552.575866699219,,,
1589170511.20958,10770,553.926635742188,,,
1589171052.00586,10786,542.712890625,,,
1589171302.44757,10793,517.344848632813,,,
1589172323.58313,10821,539.843200683594,,,
1589172359.91467,10822,538.503662109375,,,
1589172692.18098,10831,522.688293457031,,,
1589172874.38974,10836,541.710205078125,,,
1589173297.69334,10847,536.165710449219,,,
1589173619.67346,10856,540.752746582031,,,
1589174132.12831,10870,540.348937988281,,,
1589175491.56819,10908,555.020812988281,,,
1589175595.15736,10911,544.125793457031,,,
1589175904.8145,10920,554.116516113281,,,
1589176766.25761,10945,521.186096191406,,,
1589176904.16559,10949,551.473754882813,,,
1589177216.72417,10958,546.942993164063,,,
1589177721.86194,10972,541.665771484375,,,
1589177950.21442,10978,542.036743164063,,,
1589178017.92689,10980,555.830261230469,,,
1589179190.54673,11014,541.884704589844,,,
